Review,Rating
"This is a great quick,easy,tasy cheescake.the hardest thing about it is waiting for it to cool. Yum!Jinx",positive
A lot of people at our baby shower said how much they liked this punch.Even one person said that they didn't like champagne but they loved this punch.It had a nice fruity flavor and pretty color.This one will go in my recipe file.I couldn't find the frozen pineapple-orange-guava juice so I went with pineapple-orange.Thanks for this wonderful recipe that was definitely a hit!,positive
"I made this casserole using light cream of celery, light sour cream, light Ritz crackers and light cheddar.It still came out wonderful! Great alternative to the same old green bean casserole.",positive
Simple and easy to prepare.,neutral
she loved it,positive
"I just had to make this magic food of song (at least as sung by Sharen, Lois and Bram).I must say that I usually don'tlike walnuts, but they were great in this.This was very tasty, though not as rich as I might have guessed.It was somewhatsweeter than I normally like, but I did not leave any in the bowl. The upside down presentation is showy.I recommend some very rich ice cream as a topping or side dish (Blue Bell Homemade VanillaIce Cream fills the bill in my neck of the woods).Fun and tasty.The pan size that worked for me was 9"" by 9"". The recipe did not specify",neutral
"Thanks for giving recipes for such good food.You saved my thanksgiving.My sister-in-laws and I are cooking dinner this year for thanksgiving.All of the older ladies have all died so it is up to us to get everyones belly full.Cooking for a big family requires lots of food.Good food.I am a good cook but some of the things I was asked to cook I have never cooked before.I needed help!!!And thanks to this wonderful site on my computer I got all the help I needed.I used many recipes and am very pleased with the outcome.The lightened green bean casserole was my favorite.All the other recipes I found other places where all very common.I suggest to everyone, if you have not tried this you really need to.It is very delicious.And also very good for you.Thanks again for my wonderful thanksgiving dinner.Your devoted cook,lynn",positive
"I would reccomend this recipe to any one that doesn't like pumpkin pie, it is a delicious substitute. The pumkin rolls are almost like cinnamon rolls except for the taste.I reccomend this recipe to every one.",positive
I recently tried this recipe and got rave reviews from family and friends!,positive
"I came upon this recipe while searching for a sweet potato topping. I didn't like the recipe for the potato itself because it would have been much to sweet and ""heavy"" for my tastes. I did enjoy the topping very much, though. I topped plain, buttered sweet potatoes with it and they were quite good.",neutral
Where's the Nutmeg And the Cinnamon?,neutral
My wife made this recipie for Thanksgiving today and the whole family agreed it was the best food on the whole table.,positive
"The Turkey was wonderful!!! My Husband thought I was crazy when he read the note I left him in the morning when he got up to put it in the oven. when I pulled it out of the oven he said it was the prettiest Turkey he had ever seen, But said lets wait to see what it taste like. when he tried it at my parents he loved it and made sure every one know he was the one who cooked it since he was the one who put it in the oven",positive
"Muffins were simply excellent!Easy to prepare, moist and so tasty!We started out by reducing the recipe for only 4 servings...after the first muffin was gone, we started the second batch (increasing to 12 servings!).ENJOY!",positive
Excellent and great tasting.Easy prep!!!!! My guest loved it! ,positive
Onions and whiskey overpowered the sauce.Not at all similar to TGI Friday's mariande.,negative
"I served this recipe, Cherry Cheese Salad at our community dinner for 60 people. It was a hit. It is a wonderful, refreshing salad. It seems to come alive in your mouth when all the flavors hit the taste buds. Great recipe!",positive
This is a great recipe I made it for my family soon it will be served in my restaurants.Lauren,positive
I thought this recipe was very quick and easy and delicious. I made at Thanksgiving for my family and they really enjoyed it.I'm making it again for some friends at work.,positive
It was A great recipe but I did not use the applesand I added chopped bacon saute mushrooms.,positive
I have baked these biscotti before and they are excellent.I'm so glad I could find the recipe again.,positive
This is a very tasty cake--my recipe calls for sprinkling the batter with 1/2 cup chopped nuts before baking--Delicious!!,positive
"The French Onion soup recipe is one of the most popular dish served at the Famous Barr (also part of the May Dept store group) restaurants found in St.Louis. Based on my travels to the various countries including Europe, Asia and US, this version of French Onion soup is one of the best I've had. My husband who is from London just loves this recipe.It is robust and hearty in beef and onion flavour and quite thick so you can enjoy this as a meal in itself (you might say it's great comfort food).Be sure to use the broiler until the cheese bubbles and turns golden brown over the French bread. Tip: Try to use the fresh French bread which is a bit chewy in texture.Bon Appetit.",positive
My grandma has been making this simple coffee cake for years.It is a huge favorite for the whole family!We add chopped pecans to ours.Really easy for overnight company.It rises overnight and you pop it in the oven before everyone gets up.,positive
This taste great!!!!!! Even my 3yr. old loved it,positive
Everyone loved it. I have made it up twice in one week.I put it up in the freezer in individual servings.,positive
These have been an absolute hit with everyone every time I have made them.They are incredibly easy to make and just heavenly!,positive
"I am always looking for things such as this to give as gift to friends and family. I make an instant spice tea, which was given to me by a very good friend years ago. It has instant tea, cinnimon, tang, instant lemonade, cloves, etc. It is like the mocha cocoa mix. My friends will enjoy this at Christmas. I will be putting it in small mason jars with a material cap tied off with ribbon and a small Christmas wooden ornement.Thank you this will be great,Grannymj0",positive
FantasticYou have really made my day and my Christmas presents easier. Thank youGrannymj0,positive
Ok,neutral
This is a wonderful holiday bread.I make it every year and give some of the loaves to my close friends and neighbors who look forward to this special treat.It is especially delicious served with a hot cup of Christmas tea.,positive
"I made this soup pretty much as directed except I browned the meat in olive oil, and added 2 bay leaves,and two cloves of garlic. I just had it for lunch and my sister and I thought it was excelent,I will freeze the rest in individule serving sizes for my husband and I.",positive
"Excellent chili, especially liked it with the spaghetti.I prefer more chili powder than the recipe called for.Also makes for very good chili cheese fries.",positive
"Flavorless and bad.I fortunately, saved it by looking at another recipe for Caldillo on this site and and adding some of the ingredients listed there.",negative
I love this recipe!! I use chopped peacons for the nuts. This recipe is absolutely a must try!!These cookies homemade are much better than the store brand.,positive
I live on the Oregon coast and met and fell in love with a wonderful man from cinncinnati.I had to look a long time for this recipe -We absolutly love it!!,positive
I heard about this fudge this morning..looked up the recipe and made it..it is great..so easy and the best fudge I've ever eaten.,positive
"I loved this recipe, very tasty and makes a great appy, i will be making it for my new years party.",positive
This was easy to make and handy to have in the freezer ready to just bake. I will have to learn to cut it down into four serving sizes though. It was to much just for my husband and I. I also added ground beef to mine. It tasted really good.,positive
"BOY!You sure can't eat just one of these muffins at a time. They were really great and easy to make. I even made a terrible mistake, I forgot to put the brown sugar in. The next two batches I make I will do right. I didn't think something with green chili in would taste good. Was I surprised.",positive
"I have made this recipe for the last 6-7yrs. at Christmas.I usually don't like fudge, but this is GREAT.I give it as gifts and everyone always asks for the recipe.",positive
"Best Chilli I have ever had.Nice and spicey, filling and again, the best chilli I have ever had.",positive
This is a great recipe... make ahead and broil before serving. My friends love this.,positive
I made a double batch of this soup and added a medium onion and two cloves of garlic. It was easy and I thought it was really great. Of coarse potato soup is my favorite and this was the best that I have ever made. I am going to put in individual servings and freeze.,positive
"I've often made these with different liquers. Orange, raspberry and peach are favorites.Of course, when my husband makes them, with either rum or bourbon, they're a bit more ""liquidy"" than normal.",positive
I love this soup it was great.i would love to try to make it again some time to have.I did tell all my friends about it and they loved it too.ao to eveyone this is the best soup try it too.,positive
This recipe is so versatile!I've made it minty with flavoring. I've used nuts and marshmellows for a rocky road fudge.,positive
"3 medium onions made a very tasty part of a meal for 3 persons. The recipe ingredients reads ""20 butter"" and ""onions"" but doesn't sayhow many.I used about a 1/2 C. butter and 3 medium onions and it worked out fine and the cooking time seemed to be the right time.3 med. onions would serve 4 people. They would be really yummy atop a thick juicy filet mignon! In fact, I believe that this recipe could be included with a large number of meals of various types.",positive
"The soup was easy to make and delicious. I agree with the chef, that it isn't just glorified chicken broth! The recipe says it makes 4 servings, but I'd say it was closer to 6, the servings were ample. The measurements for ounces I adapted as follows: 3/4 C diced carrots, 3/4 C diced celery and 2 medium size onions, chopped. The ingredients didn't list the corn tortillas, just the chips. I added about 10 diced corn tortillas to boil into the soup and the consistency turned out great.",positive
"This is the best eggnog I have ever had.It's good with fat-free half and half, too.The writer suggested Jack Daniels might be good in it, but it is especially good with 1/2 cup of light rum (preferably Bacardi) and 1/2 cup of Crown Royal.Delicious!",positive
"This recipe was great! In order to make the recipe even easier, I substituted the sweet potatoes with canned sweet potatoes -- and it STILL came out good. The entire family loved it, including the kids, and my sister and mother-in-law asked for the ""secret"" recipe.",positive
Absolutely Delightful Recipe! Rich and Flavorful!,positive
this is a traditional dish my family has enjoyed on christmas eve for over 30 years. my mother passed away 2 years ago and it fell to me to keep the tradition going. i needed to recheck my memory and had a hard time finding this till i came across your site. many thanks and merry christmas,positive
My daughter and I made this bread over Christmas and it was wonderful.We left out the fruit--the bread lasted almost one day--the aroma was awesome!!! Everyone that came by the day we were baking our Christmas goodies wanted to stick around until THAT bread was done.We have already made another loaf.Thanks for a great recipe.,positive
"While on my first visit to Ireland in July 1999, the birthplace of parents, my cousin and I stopped in Doolen near the Cliffs of Mohr and had this marvelous dark Irish Beef Stew cooked in Guinness Stout""at O'Connors Pub.It was absolutely delicous and the first authentic Irish meal we had and while all the food was great there was nothing that could beat the Irish Stew.When I found the recipe on this site, I immediately tried it and it is exactly like what we had in Ireland.When my cousin came to dinner and I served it, he was sure I had gotten the recipe from O'Connors Pub while we were in Ireland.It was a cinch to make, directions were very easy to follow and it practically cooks itself.It is equally as good over mashed potatoes or rice.Try it, you'll like it. The one ingredient I added was a ""wee bit of blarney""",positive
"What a joy finding this recipe. I didn't want just another cranberry recipe.I rate this recipe a solid 5 because:Ease of finding the products to make it, minimal preparation time and the final results of all who enjoyed it : )I utilized fresh cranberries, red seedless grapes, and braeburn apples with fresh made whipped cream (i chopped fresh pecans on the side for those who would like to add some to their serving).This dish was smashing with prime rib.Joyeux Noel.....Sandra",positive
I've fixed this pie before and lost receipe thank you for reprinting it...,positive
very good!!!,positive
We had these for Christmas dinner and they are great. I added a 1/2 tsp. or cinnamon and placed a whole walnut on each Ball. Easy and fast and they were a hit,positive
"Blueberries sink to bottom of bundt pan and stick.I had planned on giving these cakes as Christmas presents, however, gave up after three attempts. No amount of greasing or flouring the pan seemed to help.",negative
Thank you for providing this recipe.I'll let you know how the customer liked it.,positive
It is like rubber.,negative
This is the recipe I have used for many years.It is so yummy.It is easy to make and a treat to eat.It is good for every day type bread and wonderful to give as a gift.It is a favorite of my family.,positive
I doubled this recipe for Christmas dinner 2000 and everyone came back for 2nd's and some even for 3rd's. Very easy to make.I increased the cooking time to 60 min's and put a extra cheese on top for the last 15 min. uncovered for a nice crust of baked cheese.,positive
"my family loved these.fresher than any boughten poppers.take some preparation time, but are well worth it.",positive
The recipe did not say to drain the juice from the pineapple and mandarin oranges and therefore it was very soupy!,negative
"I received this ""hoax"" email forward about 4 years ago, but never attempted the recipe. A friend of the family made it for us just a few weeks ago and it tastes incredible! I can't believe I held on to this recipe for so long!!",positive
"I made this recipe for Christmas and it was great!The red and green coloring also made it festive-looking.I, too, left out the bean sprouts and substituted cashews.Even my picky Mother-in-law couldn't complain!!",positive
"Excellent Pumpkin Roll, very tasty. I add Pecans ontop of cream cheese filling",positive
"This recipe is so easy I usually make two at a time. Not only does it taste great, but I make them and put into the freezer to use at a church circle, club meeting, or for friends who just happen to drop by.I always try to keep at least one in the freezer.",positive
"I have had a hashbrown casserole similar to this as well, but never got the recipe.I am curious as how much sour cream should you put in then.Thanks.",positive
This is a traditional way of making english bread pudding - but i live in Texas - does anyone know what they call suet in Texas? someone told me they only use it for birdseed???,neutral
"This is only a low sodium recipe if you completely omit the salt - just use a little more pepper, or some garlic powder.",neutral
It was totally tasty dudes,positive
"Aren't there 6 or seven stars to choose from.WOW!I was so excited to see this recipe.I absolutely loved this soup when my husband and I would go to Famous Barr 30 years, when he was in the seminary at Concordia St. Louis.I have made it through the years, because an aunt had sent me the recipe from her local Springfield, IL newspaper about 20 years.Once I lost it, but a friend retrieved it for me from the time she had asked me for it.What I love about your site is the instant way to double or triple or whatever the recipe!I make this recipe a number of times each year, but I always make it for a big Christmas Party we have.Everyone loves it and looks forward to it each year!Thanks so much!I always serve it with homemade bread and a Ceasar Salad.I look forward to your newsletters.",positive
"I haven't tried it yet, but when I do I will use cherry cola",positive
I substituted the green bell pepper with red and it was wonderful.,positive
Another great way to make this recipe is to put all the ingredients inside the flattened biscuit and then deep fry them this is a real pleaser any time in my house. This recipe is very easy and fun to make I hope to find some more fun recioes soon!,positive
"This is a great basic potato soup receipe!I used two cups of half and half in place of two cups of milk, and added 1/2 pound of cooked bacon plus two tbls. parsley. I took out the cheese to add the half and half!",positive
I believe there is a mistake in the amount of eggnog listed in this recipe...5 1/2 cups is too much and the batter overflows a 9x5,negative
"Made it for daughter's wedding, a GREAT hit!!",positive
"Ilove this recipe ,it is so easy when you have kids. Just mix and serve.",positive
"I'm pretty sure this recipe is a joke, but I don't want to make it in order to find out ;-).I have with my own eyes seen a version posted on the Hostess pages, but can't find it now.(Which makes me think they decided to take the joke down.) Anyone can post a recipe on Recipezaar, so even the bizarre will show up some times.Wonder when someone will post the ""Recipe for Disaster""? ;-)I hope everyone can see the humor in this recipe.",negative
"Great recipe!Several changes might help thicken the soup a bit.I used half and half instead of plain milk.Also, 1 tsp. corn starch mixed with hot water helped to thicken. I added some small cubes of potato and some celery. This makes the soup complete.",positive
It was a great dish my family loved it I couldn't make as much as I wanted to but I got it finished,positive
"delicious dessert, a little hard to make when you need something for the same day. Maybe you can find a faster and easier version of this same dessert.",positive
"very healthy sconegreat web site thank you i, ihave 2 tennage girls so they are into recipes ok thanks once a gain",positive
"I made these muffins to give in my Christmas gift packages. Everyone loved them, and including myself. I followed the recipe exactly, and they were easy to make.",positive
"When I was a boy in the 1930s my brother and I would catch bull frogs and father would dispatch and prepare them, we also picked wild button and shaggy main mushrooms, cleaned all and fried in butter, served on toast and devoured.",positive
"Apparently I got the wrong pork chops for this receipe!!!I only cooked for 1 1/2 hrs and they were way to dry...if I had cooked for 2 they would have been hockey pukes!!!The taste was good, but I would diffently watch the time and cooking of the chops. Maybe just an hour, covered.",neutral
"I skipped the bread bowls and used fresh italian parsley, a little rosemary and thyme, and it was great.Left it chunky too.",positive
Great recipe for anyone who like it as close as it come to the real thing! Very simple to make and you can find all the ingredents in your local supermarket! I myself would cut back on the white pepper and add a little bit of hot oil (not to much)! I would also add about 1 1/2 tbls more of vineger. (or to taste) add a little more meat and you can serve with a bowl of white rice with steamed veggies for a meal of its own.,positive
"My husband and I simply loved this soup. I added half a medium onion to mine, and put in four cloves of garlic instead of two. We sprinkled shredded mozzarella cheese on ours before enjoying.",positive
This recipe was simple to make and easy to convert to serve more people.I like the fact that the ingredients are those usually found in someones pantry and that preparation time was 10 minutes or less to combine and could be left alone in the oven to cook.Wish all recipes were this easy and delicious.I will definetly add this to my keeper list.,positive
Outstanding,positive
"I have to rate this one highly, since I am the author!I have found it quite funny to watch how this recipe has flown around the world.I sure wish I had done a better job of typing it out!",positive
This bread is absolutely delicious and so easy.It's a new family favorite. We even enjoyed it for breakfast. Thanks,positive
This is a real good cake But I use 1 tsp. of ginger also.Tree,positive
This recipe needs a little help !,negative
This dish was excellent.The sauce turned out wonderful and was an excellent choice for the pork chops !,positive
this is wonderful very easy but i used cooked pudding. has more lemon pie taste,positive
I think this was the most awfulest punch I have ever tasted hope someone else has better luck!!!!!,negative
"It's between three and four stars, really. Easy to make and good tastin'. It's stick-to-your-ribs stuff, it's like chicken paella, and that's pretty good. I am glad I made it, I will make it again, it will be my lunch for the next three weeks.",neutral
I used Cream of chicken instead of mushroom and it was wonderful !!! My whole family loved it !!,positive
Baklava is in fact Greek..I moved from Greece a little over 3 years ago and therefore your feeble-minded Turkish opinion means nothing.,positive
"This is the best way to serve shoepeg corn there is...we make the same recipe but use two cans of the shoepeg corn, and no beans.It's yummy for Thanksgiving.",positive
"I made this bread with a little milk (instead of dry milk) and a little coffee (instead of instant).Also, I made it using my mixer with dough hook instead of a bread machine.It worked very well.Best pumpernickel I have tasted!",positive
Just the type recipe I came to this site for. I am going to take this to a Super Bowl party on Sunday,positive
"We really like this dip, it''s creamy and tasty.I added a little more green onions (including the tops)and some garlic powder (I put that in just about everything that I think it would add a little more zing, plus it''s good for you).",positive
if you love clams and garlic you will love this recipe. I plan to make large quanties for the upcoming superbowl party at the hitchin post in salem oregon.go ravens. ,positive
"Be aware that this is the EXACT recipe that is printed in the booklet that comes with a new crockpot.It's easy enough, but they call for too much flour, it's a little pasty-tasting to me.Luckily, I made a test batch before I cooked for guests or I would have been embarrassed.Cut the flour amount down to about 1/2 and add more pepper.I've found that browning the beef first seals it and makes it taste better.",neutral
"It was pretty good, but then again I was really hungry.Needs more chicken and more cheese.",neutral
This casserole is the best I have ever had.My grandmother makes it for Christmas every year and I just had to have the recipe.,positive
"This was easy to make, but when mashing the potatoes and garlic, be sure to get the garlic mashed.It is hard to find it in the potatoes, so you need to mash it all well.The taste is subtle, but true.You may want to add a little more butter and salt.",neutral
this was okay.too greasy for my tastes.,neutral
"No vanilla?No butter?Wasn't sure what to do about that, but the pie is good.",neutral
average taste. Not particularly subtle,neutral
"First of all, I used a 4 pound pork tenderloin, instead of 1 pound.It took 1 hour to bake, so not much longer and was 170 degrees inside.Next, I didn't have the time to marinade overnight, so I used garlic powder and marinaded for about 20 minutes.It turned out wonderful.Probably the best pork we have had.It was tender, moist and flavorful.I also substituted black pepper for white pepper.",positive
"After extensive research on turkey soup recipes, you were my first choice.Now your turkey soup has become ""Deidre's famous turkey soup"".I have a stomach condition that requires soup on a daily basis and having previously not liked soup, this was a difficult step for me.But your recipe has converted me into a soup lover.It works great for chicken too.Thank you for adding spices, herbs and FLAVOUR to your recipe.It really is different and great tasting.Your efforts to get this out to people like me is very much appreciated.Deidre GilbertCalgary, Alberta, Canada",positive
"Basic, simple - but it's good, and taught me a thing or two about making good thai (?) soup - never cooked with lemon grass, but it was yummy. Simple to make and wholesome and creamy without dairy, I'd forgotten the charms of coconut milk.",neutral
My boyfriend and i were very pleased with this recipe. he is half chinese so he knows the good stuff. the only thing we changed was the amount of chili paste. we only put one tablespoon instead of 2. the soup is very very spicy with 2 tblsp's. other than that it was great. the flavor is awesome. my boyfriend said that it tasted just like his mom's. that is a great compliment.amity,positive
this recipie is one of the best and easiest i have used. It really does taste like a mounds bar. Fast and easy and the kids will love them as much as you do.,positive
I agree.,negative
"I have tried these meatballs and they are to die for. If you like sweedish meatballs than this is the recipe for you. Im sure you won't be disappointed.Tammie HertrichOttawa, Canada",positive
"My favorite Tortilla Soup is from the Red Robin in Del Mar, Calif.This is almost identical.Very easy.I would start with 8 tortillas and go up from there - 10 was a little thicker then I like. You can always add more.",positive
"Incredible flavor, easy and quick but tastes like an all day affair.",positive
This was my first try at muffins from scratch and they were TERRIFIC! Easy to make too!,positive
This dip was a big hit with my friends! I substituted mushrooms for artichoke hearts and it was absolutely delicous. Great heated up the next day too! YUM...,positive
"Fairly good recipe. I found that I needed to marinate the shark steaks for 3 hrs, because i used the goerge forman grill to cook it.I also found that adding 1 1/2 Tbsp. of sugar(for 2 servings) balances the acidity of this recipe very well..The portions of steak that i cooked were 2 1/2 inches thick and it took me 28 min to cook on the george forman grill..",neutral
"The BEST anchovie based dressing I have found to date, bar none.",positive
excellent recipe i love it,positive
the baking time of 1 hour at 300 degrees plus overbakes the cake and also chars it.,neutral
Wow!!!Egyptian food!!!Cool!!!,positive
"The dish is wonderful! It so easy to make, it takes 15-20 min . Also I like to serve it with butter and sour cream. Everytime I cook Spaetzle my husband ask if there anything is left. Though, I always cook more. Try, and you''ll see how easy and delicious it is!",positive
"I have had this before. It has really good flavor!Be sure to use salted pretzels, they really make the dish good.",positive
It was delicious. And very easy too. Even a little kid could make it.,positive
It was DELICIOUS and so easy too. My six year old niece even made it herself. It is such a healthy snack.,positive
"Kraft used to have this on the market. This recepie is just as good, if not better.",positive
...,negative
I used this recipe for a baby shower and it was the talk of the party.It's sooo easy and absolutely wonderful!!!,positive
"I haven''t tasted it yet because I''m just trying it for the first time for a family member''s birthday party. I am boiling the pineapple and sugar at the moment and tomorrow, I will put the pudding/cream cheese mixture on it and add the bananas and whipped topping and coconut and cherries. It sounds just marvelous! I intend to put a red transparent g-string on the finished product as it seems quite appropriate! I''m sure it''s going to taste fabulous so I will give it the highest rating! Mahalo for the great recipe and looking forward to more... Aloha, Ijeva-----I finally baked the cake and changed it to chocolate instead of yellow cake mix.It is absolutely delicious.I would however, not put 2 cups of sugar because it is awfully sweet but might reduce the quantity or even substitute with some kahlua and milk instead.Other than that, my son devoured the rest of the cake.Superb!",positive
I'm lokking for a whipped cream Icing recipe.Can you help me.connie,neutral
"This recipe is great!It only took me 1/2 hour to prepare, it wasn't all that expensive, and my wife loved it!I prepared it for Valentine's day (our first together as husband and wife) and she was thrilled when she got home from work!The recipe is great because we're both watching our weight, so not being dependent on carbohydrates (rice, pasta, potatoes) was a good thing.I added mushrooms to the recipe, which enhanced the whole thing.",positive
"Hello!My family used to use chicken feet in our soup and it was wonderful.I was raised on a grain and dairy farm, we raised everything, processed our own meat, canned all our own vegetables etc.It's so nice to come across all these wonderful recipes.June Bug",positive
"As a helper of a girl scout troop, one of a projects to earn a badge was to prepare an ethnic meal.We chose and Italian meal and for dessert we chose these cookies.The girls really enjoyed making and EATING them.We got about 5 1/2 dozen cookies from a batch.Thanks for a really wonderful and delicious recipe.",positive
awesome....kids loved it!!!!!,positive
Easy to follow recipe.Wonderful taste. Had no problems with cake or blueberrys sticking to pan.,positive
"I haven't made this as yet, today is Feb. 18,2001, but I boiled the carcass of a turkey and the ingredients you have listed just fit us to a tee.I just happened on this site looking for a quick, easy, tasty soup.I am rating it even though I haven't tasted it yet.I can just tell by the ingredients. I would serve it with crusty bread and a nice light white wine.Preferably Gallo's white Zinfandel.Nice going!!",positive
Great entre; I highly recommend this for anybody who wants a enjoyable finger food.,positive
"This pound cake makes a great base for Strawberry shortcake.The recipe does NOT half well, however it does freeze well and handy to have on hand for a quick dessert.Use quality bourbon for the best taste.I recommend Labrot and Graham's Woodford Reserve if you want to keep a very fine bourbon on hand for cooking, baking and drinking.;-)",positive
"This recipie is EXCELLENT!!I went out on a limb and made this biscotti for my new boyfriend for Velentine's day.He is Italian, and so I figured by baking an Italian dessert, he would either love it, or tell me I was an awful cook!Well, I split the recipe in half and by the end of the next day, he and his roommates had eaten ALL of it!They loved it and I became known as a ""fabulous cook""!Thank you so much for this delicious recipe - it really came through for me!Anyone who is considering making this dessert - you should!It is fantastic!",positive
"Although we double the corn and green beans, it still comes out the same - fantastic.Take it quite often to covered dish luncheons and dinners.Always asked for the recipe.",positive
"My comments are for those who just read the review by the previous reviewer, Bill de Bruler who commented on the fact that 1/4 cup of hot pepper flakes was too much for this recipe. I'd have to agree but also point out that the recipe called for 1/4 teaspoon, rather than 1/4 cup. This might explain why he thought it was a tad toasty. I made it with the pinch of pepper and loved it. Thanks",positive
"This recipe was delicious, but took a lot of time, cost and effort to make.",neutral
This is a great recipe....It didn't take too much time to prepare and the final results were delicious!,positive
i thought that this was really really yummy.it had a good texture and tasted so sweet that i cant beleive its low fat!!!cool or what!?,positive
great!,positive
"This is a great recipe. Really easy to make. I left out the gizzards and livers and used chorizo sausage and chicken instead. I made 6 servings, but it could have easily served 12.",positive
good and if prepared ingred. already then only takes approx. 6 min. equalling fast!!,neutral
"Substituted whole grain bread.Used organic banana, natural (unhydrogenated) peanut butter.I saved time, utensils and steps by mashing the banana on the bread.So it took me less than 5 minutes to prepare.Easy.1 skillet, 1 knife, 1 paper plate.Delicious, it was.And very nutritious.The sauteeing took the dryness out of this popular sandwich.Would I serve it to guests?To the young at heart, yes.And the heating of the banana gave it a decided Deep-South flavor, almost exotic.",positive
i browned the ground beef and then mixed everything together in the croc pot and let it simmer for about 2-3 hours. it was wonderful!!,positive
"this is a great tasting soup , i made this for the family and it is awesome. i make it twice a week as a meal and as a starter. two fish heads up",positive
"Something is missing.Followed to recipe and it was too runny and tasteless. Tried to dress it up, but was unable to find that great Pappadeaux flavor.Help...",negative
